,RR,TPP,SLP,comparedProfit
636,3,0.086,0.036000000000000004,-3856.9999999999927
635,3,0.08399999999999999,0.036000000000000004,-3856.9999999999927
63,4,0.044000000000000004,0.012,-3877.9999999999964
363,4,0.092,0.024,-3891.9999999999927
206,3,0.054,0.018000000000000002,-3908.00000000004
583,3,0.072,0.034,-3918.0000000000036
62,4,0.042,0.012,-3958.9999999999964
344,3,0.054,0.024,-3985.0000000000036
539,3,0.076,0.032,-3989.0000000000036
540,3,0.078,0.032,-3989.0000000000036
161,4,0.056,0.016,-3992.0000000000036
534,3,0.066,0.032,-4005.9999999999964
533,2,0.064,0.032,-4005.9999999999964
494,3,0.078,0.03,-4012.0
409,4,0.092,0.026000000000000002,-4022.9999999999964
275,5,0.09999999999999999,0.02,-4057.0
582,3,0.06999999999999999,0.034,-4082.000000000011
357,4,0.08,0.024,-4090.999999999982
293,3,0.044000000000000004,0.022,-4117.000000000004
358,4,0.082,0.024,-4154.999999999982
488,3,0.066,0.03,-4189.999999999996
22,6,0.054,0.01,-4194.000000000022
162,4,0.058,0.016,-4196.000000000004
438,3,0.058,0.028000000000000004,-4203.999999999989
535,3,0.068,0.032,-4211.0
630,3,0.074,0.036000000000000004,-4220.999999999993
299,3,0.056,0.022,-4225.0
401,3,0.076,0.026000000000000002,-4230.999999999989
731,3,0.092,0.04,-4255.999999999996
204,3,0.05,0.018000000000000002,-4263.000000000007
632,3,0.078,0.036000000000000004,-4271.999999999985
169,5,0.072,0.016,-4272.000000000015
581,2,0.068,0.034,-4274.0
28,7,0.066,0.01,-4276.000000000007
547,3,0.092,0.032,-4277.0
593,3,0.092,0.034,-4277.0
684,3,0.09,0.038,-4302.999999999993
822,3,0.09,0.044000000000000004,-4306.999999999989
487,3,0.064,0.03,-4328.0
27,7,0.064,0.01,-4331.000000000007
404,4,0.082,0.026000000000000002,-4334.999999999989
163,4,0.060000000000000005,0.016,-4352.0
274,5,0.09799999999999999,0.02,-4360.0
273,5,0.096,0.02,-4360.0
776,3,0.09,0.042,-4361.999999999993
774,3,0.086,0.042,-4361.999999999993
775,3,0.088,0.042,-4361.999999999993
485,3,0.060000000000000005,0.03,-4365.999999999993
41,10,0.092,0.01,-4377.000000000007
75,6,0.068,0.012,-4391.000000000004
350,3,0.066,0.024,-4392.000000000007
300,3,0.058,0.022,-4394.999999999996
400,3,0.074,0.026000000000000002,-4397.999999999989
631,3,0.076,0.036000000000000004,-4401.999999999985
106,3,0.038,0.014,-4412.000000000007
29,7,0.068,0.01,-4414.000000000011
361,4,0.088,0.024,-4428.999999999989
360,4,0.086,0.024,-4428.999999999989
403,4,0.08,0.026000000000000002,-4433.999999999993
170,5,0.074,0.016,-4448.000000000022
537,3,0.072,0.032,-4449.0
399,3,0.072,0.026000000000000002,-4468.999999999989
272,5,0.094,0.02,-4476.0
486,3,0.062000000000000006,0.03,-4485.000000000004
349,3,0.064,0.024,-4485.000000000004
207,4,0.056,0.018000000000000002,-4544.000000000007
345,3,0.056,0.024,-4548.000000000004
639,3,0.092,0.036000000000000004,-4571.999999999993
495,3,0.08,0.03,-4577.000000000007
43,10,0.096,0.01,-4585.0
341,2,0.048,0.024,-4605.000000000018
407,4,0.088,0.026000000000000002,-4608.999999999996
406,4,0.086,0.026000000000000002,-4608.999999999996
408,4,0.09,0.026000000000000002,-4608.999999999996
253,3,0.056,0.02,-4609.999999999996
397,3,0.068,0.026000000000000002,-4610.0
359,4,0.08399999999999999,0.024,-4610.999999999989
496,3,0.082,0.03,-4623.000000000004
362,4,0.09,0.024,-4640.999999999996
18,5,0.046000000000000006,0.01,-4647.999999999993
396,3,0.066,0.026000000000000002,-4653.000000000007
413,4,0.09999999999999999,0.026000000000000002,-4674.999999999996
346,3,0.058,0.024,-4682.000000000004
827,3,0.09999999999999999,0.044000000000000004,-4682.999999999993
402,3,0.078,0.026000000000000002,-4686.999999999996
45,10,0.09999999999999999,0.01,-4690.000000000007
172,5,0.078,0.016,-4695.000000000022
42,10,0.094,0.01,-4701.0
16,5,0.042,0.01,-4701.0
355,4,0.076,0.024,-4716.000000000004
71,5,0.060000000000000005,0.012,-4718.0
781,3,0.09999999999999999,0.042,-4737.999999999996
498,3,0.086,0.03,-4742.000000000007
254,3,0.058,0.02,-4743.999999999996
347,3,0.060000000000000005,0.024,-4759.000000000007
343,3,0.052000000000000005,0.024,-4760.0
342,3,0.05,0.024,-4774.000000000015
500,3,0.09,0.03,-4788.000000000004
499,3,0.088,0.03,-4788.000000000004
405,4,0.08399999999999999,0.026000000000000002,-4790.999999999996
492,3,0.074,0.03,-4801.0
398,3,0.06999999999999999,0.026000000000000002,-4820.999999999996
80,7,0.078,0.012,-4828.000000000007
79,7,0.076,0.012,-4828.000000000007
919,3,0.09999999999999999,0.048,-4828.999999999996
873,3,0.09999999999999999,0.046000000000000006,-4828.999999999996
17,5,0.044000000000000004,0.01,-4848.000000000011
78,7,0.074,0.012,-4849.0
348,3,0.062000000000000006,0.024,-4852.999999999993
393,3,0.060000000000000005,0.026000000000000002,-4867.0
301,3,0.060000000000000005,0.022,-4873.999999999993
44,10,0.09799999999999999,0.01,-4891.999999999996
592,3,0.09,0.034,-4921.0
546,3,0.09,0.032,-4921.0
395,3,0.064,0.026000000000000002,-4923.000000000004
255,3,0.060000000000000005,0.02,-4939.000000000004
356,4,0.078,0.024,-4941.0
32,8,0.074,0.01,-4941.000000000018
491,3,0.072,0.03,-4962.000000000007
490,3,0.06999999999999999,0.03,-4962.000000000007
171,5,0.076,0.016,-4968.000000000022
412,4,0.09799999999999999,0.026000000000000002,-4977.999999999996
411,4,0.096,0.026000000000000002,-4977.999999999996
108,3,0.042,0.014,-4983.999999999996
31,8,0.072,0.01,-4985.000000000018
826,3,0.09799999999999999,0.044000000000000004,-4985.999999999993
825,3,0.096,0.044000000000000004,-4985.999999999993
113,4,0.052000000000000005,0.014,-4996.0000000000255
117,5,0.060000000000000005,0.014,-5002.999999999985
493,3,0.076,0.03,-5004.000000000004
735,3,0.09999999999999999,0.04,-5031.999999999996
209,4,0.060000000000000005,0.018000000000000002,-5034.000000000004
780,3,0.09799999999999999,0.042,-5040.999999999996
779,3,0.096,0.042,-5040.999999999996
489,3,0.068,0.03,-5042.999999999993
181,6,0.096,0.016,-5059.000000000004
40,9,0.09,0.01,-5084.000000000011
66,5,0.05,0.012,-5091.000000000015
410,4,0.094,0.026000000000000002,-5093.999999999996
173,5,0.08,0.016,-5099.999999999996
824,3,0.094,0.044000000000000004,-5101.999999999993
823,3,0.092,0.044000000000000004,-5101.999999999993
351,3,0.068,0.024,-5111.0
165,4,0.064,0.016,-5125.000000000018
30,7,0.06999999999999999,0.01,-5129.000000000018
917,2,0.096,0.048,-5131.999999999996
872,3,0.09799999999999999,0.046000000000000006,-5131.999999999996
918,3,0.09799999999999999,0.048,-5131.999999999996
871,3,0.096,0.046000000000000006,-5131.999999999996
87,8,0.092,0.012,-5136.000000000007
777,3,0.092,0.042,-5156.999999999996
778,3,0.094,0.042,-5156.999999999996
77,6,0.072,0.012,-5164.0
67,5,0.052000000000000005,0.012,-5165.0000000000255
317,5,0.092,0.022,-5171.0
179,6,0.092,0.016,-5175.000000000004
180,6,0.094,0.016,-5175.000000000004
116,5,0.058,0.014,-5180.0
352,3,0.06999999999999999,0.024,-5181.000000000011
439,3,0.060000000000000005,0.028000000000000004,-5198.999999999993
638,3,0.09,0.036000000000000004,-5215.999999999993
39,9,0.088,0.01,-5221.0
164,4,0.062000000000000006,0.016,-5223.000000000004
112,4,0.05,0.014,-5236.0
208,4,0.058,0.018000000000000002,-5240.000000000011
321,5,0.09999999999999999,0.022,-5241.0
870,3,0.094,0.046000000000000006,-5247.999999999996
215,4,0.072,0.018000000000000002,-5268.000000000007
85,8,0.088,0.012,-5276.000000000011
86,8,0.09,0.012,-5276.000000000011
70,5,0.058,0.012,-5282.000000000015
107,3,0.04,0.014,-5286.000000000007
229,6,0.09999999999999999,0.018000000000000002,-5292.000000000007
549,3,0.096,0.032,-5318.0
596,3,0.09799999999999999,0.034,-5318.0
597,3,0.09999999999999999,0.034,-5318.0
550,4,0.09799999999999999,0.032,-5318.0
595,3,0.096,0.034,-5318.0
551,4,0.09999999999999999,0.032,-5318.0
115,4,0.056,0.014,-5322.0
20,5,0.05,0.01,-5325.000000000007
733,3,0.096,0.04,-5334.999999999996
734,3,0.09799999999999999,0.04,-5334.999999999996
168,5,0.06999999999999999,0.016,-5335.000000000022
167,5,0.068,0.016,-5335.000000000022
216,5,0.074,0.018000000000000002,-5339.999999999996
394,3,0.062000000000000006,0.026000000000000002,-5342.0
137,8,0.09999999999999999,0.014,-5382.000000000011
73,6,0.064,0.012,-5404.0000000000255
166,5,0.066,0.016,-5418.000000000022
271,5,0.092,0.02,-5427.0
261,4,0.072,0.02,-5439.0
21,6,0.052000000000000005,0.01,-5443.000000000018
732,3,0.094,0.04,-5450.999999999996
91,9,0.09999999999999999,0.012,-5451.000000000007
76,6,0.06999999999999999,0.012,-5460.000000000018
74,6,0.066,0.012,-5471.000000000015
81,7,0.08,0.012,-5476.000000000007
260,4,0.06999999999999999,0.02,-5508.000000000015
177,6,0.088,0.016,-5511.999999999985
